Vorschaubild,Inv.Nr.,Link DIPkatalog,Standort,Herstellungsort,Fundort/Herkunft,Foto Link - Medienserver,Objektbezeichnung,Beschreibung (Museumsobjekt),Objektgeschichte (Museumsobjekt),Material,Technik,Entstehungszeit,Schlagworte,Eingangsart,Eing.Nr.,Lizenzbedingung,Link Museumsdatenbank,Eigentümer,Publizieren,Thema,Sammlung,Copyright,Institution,Bilder zum Objekt,Dateiname
,KFJM0899,https://www.noemuseen.at/objekt-detail/catalog/kachelmodel-65932/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",Raabs an der Thaya (Hafnerei Meier u. Söhne) ,Drosendorf (Sammlung Huber) ,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM0899.JPG,Kachelmodel,"Rechteckiger, irdener, unglasierter Kachelmodel mit der Hohlform des ""S. MATHEVS"" unter einem Rundbogen und über der Jahreszahl 1628; auf einer Seite befindet sich die Darstellung eines ""Verkündigungsengels"", auf der anderen Seite die Hl. Maria unter einem Baldachin vor einem Pult; darüber ist der Hl. Geist zwischen zwei sitzenden Putten dargestellt.",,Keramik/Ton,gebrannt,1628,,,1/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM0899.JPG,
,KFJM0901,,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",Retz (Hafnerei Gruber) ,Drosendorf (Sammlung Huber) ,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM0901.JPG,Kachelmodel,"Rechteckiger, irdener, unglasierter Kachelmodel mit der Hohlform des ""S. SIMON"" unter einem Rundbogen und über der Jahreszahl 1628; auf einer Seite befindet sich die Darstellung eines ""Verkündigungsengels"", auf der anderen Seite die Hl. Maria unter einem Baldachin vor einem Pult; darüber ist der Hl. Geist zwischen zwei sitzenden Putten dargestellt.",,Keramik/Ton,gebrannt,1628,,,3/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1x,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM0901.JPG,
,KFJM0902,https://www.noemuseen.at/objekt-detail/catalog/kachelmodel-65935/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",Raabs an der Thaya (Hafnerei Meier u. Söhne) ,Drosendorf (Sammlung Huber) ,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM0902.JPG,Kachelmodel,"Rechteckiger, irdener, unglasierter Kachelmodel mit der Hohlform der Darstellung von ""Christus am Ölberg"" mit zwei schlafenden Jüngern unter einem Rundbogen samt der Darstellung von zwei Cherubinen.",,Keramik/Ton,gebrannt,1600-1633,,,4/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM0902.JPG,
,KFJM4268,https://www.noemuseen.at/objekt-detail/catalog/negativform-68201/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden","Neunkirchen, (Hafner unbekannt) ","Neunkirchen, Hauptstraße 4",https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4268.JPG,Negativform,rechteckige Negativform mit der Abbildung eines Kopfes in einem auf die Spitze gestellten Quadrat darunter Verbindung zu Rankenmustern;,,Gips,gegossen,,,,1384/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4268.jpg,
,KFJM4269,https://www.noemuseen.at/objekt-detail/catalog/negativform-68202/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",Klein Pöchlarn (Hafnerei Erndt) ,"Neunkirchen, Hauptstraße 4",https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4269.jpg,Negativform,"unregelmäßig tropfenförmige Negativform mit der Abbildung eines Männergesichts mit herabhängendem Schnurrbart und geöffnetem Mund, das von Blatt- und Rankenmustern umgeben ist; ",,Gips,gegossen,,,,1385/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4269.jpg,
,KFJM4270,https://www.noemuseen.at/objekt-detail/catalog/negativform-68203/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden","Neunkirchen, (Hafner unbekannt) ",Bad Vöslau (Verlassenschaft Müller) ,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4270.jpg,Negativform,rundbogenförmige Negativform mit der Darstellung von Rocaille-Mustern und darüber 7 Blättern;,,Gips,gegossen,,,,1386/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4270.jpg,
,KFJM0910,https://www.noemuseen.at/objekt-detail/catalog/kachelmodel-65943/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",Raabs an der Thaya (Hafnerei Meier u. Söhne) ,"Neunkirchen, Hauptstraße 4",https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM0910.JPG,Kachelmodel,"Quadratischer, irdener, unglasierter Hohlmodel mit geometrischem Muster (Quadrate mit Punkten).",,Keramik/Ton,gebrannt,,,,12/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM0910.JPG,
,KFJM3861,,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM3861.JPG,Relief,"Relief: Abguss der Gedenkmünze zur Stadterhebung mit dem Badener Stadtwappen und dem umlaufendne Schriftzug ""BADEN 1480 ERHEBUNG ZUR STADT 1930"" auf der einen Seite und einer planen Rückseite.",,Gips,gegossen,,,,351/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1x,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM3861.JPG,
,KFJM4051,https://www.noemuseen.at/objekt-detail/catalog/negativform-67993/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4051.JPG,Negativform,Negativform mit rechteckiger Grundfläche und Rundbogenabschluss aus Gips für eine weibliche Gestalt mit erhobener Hand.,,Gips,gegossen,,,,687/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4051.JPG,
,KFJM4052,https://www.noemuseen.at/objekt-detail/catalog/negativform-67994/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4052.JPG,Negativform,Annähernd quaderförmige Negativform aus Gips für eine langhaarige Frau im Kleid.,,Gips,gegossen,,,,688/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4052.JPG,
,KFJM4053,https://www.noemuseen.at/objekt-detail/catalog/negativform-67995/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4053.JPG,Negativform,Negativform mit ovoidem Grundriss aus Gips für eine Blume.,,Gips,gegossen,,,,689/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4053.JPG,
,KFJM4054,https://www.noemuseen.at/objekt-detail/catalog/negativform-67996/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4054.JPG,Negativform,Annähernd quaderförmige Negativform aus Gips mit der Darstellung eines Fabelwesens (die vordere Hälfte eines Pferdkörpers und der Schwanz eines Fisches).,,Gips,gegossen,,,,690/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4054.JPG,
,KFJM4236,https://www.noemuseen.at/objekt-detail/catalog/negativform-68169/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4236.jpg,Negativform,runde Gipsmodel mit Blattrosette;,,Gips,gegossen;modelliert,,,,1351/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4236.jpg,
,KFJM4237,https://www.noemuseen.at/objekt-detail/catalog/negativform-68170/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4237.jpg,Negativform,runde Gipsmodel mit Darstellung eines Blumenkorbes;,,Gips,gegossen;modelliert,,,,1353/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4237.jpg,
,KFJM4238,https://www.noemuseen.at/objekt-detail/catalog/negativform-68171/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4238.jpg,Negativform,runde Gipsmodel mit Darstellung eines zapfenförmigen Gebildes mit zwei Flügeln;,,Gips,gegossen;modelliert,,,,1354/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4238.jpg,
,KFJM4239,https://www.noemuseen.at/objekt-detail/catalog/negativform-68172/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4239.jpg,Negativform,runde Gipsmodel mit Darstellung einer floralen Rosette,,Gips,gegossen;modelliert,,,,1355/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4239.jpg,
,KFJM4240,https://www.noemuseen.at/objekt-detail/catalog/negativform-68173/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4240.jpg,Negativform,runde Gipsmodel mit Darstellung eines Blumenbuketts;,,Gips,gegossen;modelliert,,,,1356/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4240.jpg,
